date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2024-12-23,70600,489654,41722,42115,17858218,25.61%
2024-12-24,69600,462875,-29967,-29376,17828509,25.56%
2024-12-26,66900,427583,-20223,34250,17864365,25.62%
2024-12-27,65300,460161,-29110,110767,17974702,25.77%
2024-12-30,65800,431136,29446,-1225,17973927,25.77%
2025-01-02,61800,472682,-69858,-11426,17962783,25.76%
2025-01-03,66100,1234111,-64261,69632,18022812,25.84%
2025-01-06,68800,623214,36978,-13094,18006906,25.82%
2025-01-07,69200,417858,12429,-7779,17999347,25.81%
2025-01-08,73500,711109,63543,17385,17974626,25.77%
2025-01-09,76500,782983,83682,-71940,17903130,25.67%
2025-01-10,76300,776700,5245,-42406,17860316,25.61%
2025-01-13,76300,423281,23129,-61478,17804749,25.53%
2025-01-14,78300,739989,16513,5747,17841168,25.58%
2025-01-15,76200,630835,-15928,-29135,17812651,25.54%
2025-01-16,78200,493651,33549,50791,17863895,25.62%
2025-01-17,76800,355808,2089,-14236,17849892,25.60%
2025-01-20,78400,560673,-10481,-21778,17827913,25.56%
2025-01-21,72800,770947,2180,5814,17833661,25.57%
2025-01-22,73900,392227,9534,37749,17872598,25.63%
2025-01-23,71900,300025,3008,-4446,17868536,25.62%
2025-01-24,71100,323660,-30798,17699,17886199,25.65%
2025-01-31,71000,261659,-11341,52321,17917838,25.69%
2025-02-03,65900,385917,-29650,-1649,17915914,25.69%
2025-02-04,67200,306525,9696,82507,17997178,25.81%
2025-02-05,69500,253412,4958,35737,18032909,25.86%
2025-02-06,68000,267309,-22754,-37037,17995602,25.80%
2025-02-07,67100,371353,-34904,-22088,17973346,25.77%
2025-02-10,68000,366431,9678,35051,18008546,25.82%
2025-02-11,69800,523460,-4563,68907,18077198,25.92%
2025-02-12,71600,705674,40184,33779,18110292,25.97%
2025-02-13,74200,647945,-6297,-23782,18085522,25.93%
2025-02-14,74300,509330,23283,38131,18123598,25.99%
2025-02-17,83500,3234400,68568,111756,18305431,26.25%
2025-02-18,81700,1047230,-167651,-88542,18214409,26.12%
2025-02-19,93000,3916274,192701,153050,18345083,26.31%
2025-02-20,94300,1990592,89226,-48202,18297154,26.24%
2025-02-21,95900,917000,59081,16703,18314631,26.26%
2025-02-24,100900,1520715,84080,20566,18335143,26.29%
2025-02-25,94500,837909,-48575,-42819,18292400,26.23%
2025-02-26,95100,879105,-75945,68979,18361409,26.33%
2025-02-27,94300,577640,-44930,34093,18398475,26.38%
2025-02-28,86800,2859340,-141183,84110,18485762,26.51%
2025-03-04,77300,1204525,-77786,-235118,18243857,26.16%
2025-03-05,77300,710901,-88415,-34446,18250469,26.17%
2025-03-06,75100,1100803,-38149,-94583,18166745,26.05%
2025-03-07,75000,713762,-93807,17552,18183964,26.07%
2025-03-10,76100,892943,72731,-195357,17987169,25.79%
2025-03-11,74300,559456,20932,-74096,17912071,25.68%
2025-03-12,74200,537729,4299,-100281,17821520,25.55%
2025-03-13,72500,647689,-39932,-101174,17718629,25.41%
2025-03-14,71600,557183,3883,-45819,17651768,25.31%
2025-03-17,70700,374077,-17712,-28415,17623186,25.27%
2025-03-18,71600,553436,23230,-34936,17588646,25.22%
2025-03-19,71900,432872,-43919,-59267,17520432,25.12%
2025-03-20,71900,618665,-35537,-92111,17422597,24.98%
2025-03-21,68600,761514,-96142,-69948,17323668,24.84%
2025-03-24,67100,297117,-25037,-15113,17307298,24.82%
2025-03-25,67200,362382,-18811,-21265,17237909,24.72%
2025-03-26,66900,425220,4417,-80492,17156928,24.60%
2025-03-27,67000,446393,-20304,-70433,17089664,24.51%
2025-03-28,64100,371378,-27097,8774,16978790,24.35%
2025-03-31,57800,751121,66088,-217446,16760371,24.03%
2025-04-01,56400,601993,-5691,-94627,16676534,23.91%
2025-04-02,53800,521912,10888,-106806,16583526,23.78%
2025-04-03,52600,544483,-15698,-108644,16486257,23.64%
2025-04-04,55100,838150,62924,-3400,16490099,23.65%
2025-04-07,50500,486010,11465,-156913,16336447,23.43%
2025-04-08,50200,379858,-69859,-16377,16329057,23.41%
2025-04-09,47950,503463,27594,-56304,16272551,23.33%
2025-04-10,54600,859464,-52967,154540,16458200,23.60%
2025-04-11,54600,411734,-32919,-48629,16384960,23.50%
2025-04-14,55300,404824,-26349,-48272,16342353,23.43%
2025-04-15,53800,333604,-12699,-53562,16307950,23.38%
2025-04-16,51100,419883,-74653,-61321,16268948,23.33%
2025-04-17,51900,289299,-47256,-4009,16247211,23.30%
2025-04-18,51700,221723,3087,7764,16260182,23.32%
2025-04-21,51500,167443,-2297,-16368,16242840,23.29%
2025-04-22,52300,311413,-21760,-13381,16229694,23.27%
2025-04-23,56800,562113,44644,56782,16303695,23.38%
2025-04-24,55900,409928,-7672,-91937,16186818,23.21%
2025-04-25,56000,440201,39763,-25578,16161374,23.17%
2025-04-28,55100,357281,8283,-42138,16117832,23.11%
2025-04-29,55400,242213,23502,-1807,16140849,23.14%
2025-04-30,55500,340431,-16446,-11325,16122244,23.12%
2025-05-02,54700,243419,19519,-16339,16131103,23.07%
2025-05-07,53200,301117,31046,-65245,16179744,23.14%
2025-05-08,55000,541386,15274,133728,16345966,23.37%
2025-05-09,52000,413330,-19086,-194630,16124766,23.06%
2025-05-12,53100,236143,64902,23868,16202143,23.17%
2025-05-13,50600,476829,-72975,-185068,16020103,22.91%
2025-05-14,50200,417839,23671,2912,16016290,22.90%
2025-05-15,48500,337015,-28610,-68092,16018960,22.91%
2025-05-16,45750,482432,-56921,-26197,15996700,22.87%
2025-05-19,45250,449971,-64396,60687,16225256,23.20%
2025-05-20,43300,544012,-62444,35973,16275340,23.27%
2025-05-21,43550,495685,-30306,109699,16415497,23.47%
2025-05-22,43250,405498,-50743,53813,16539248,23.65%
2025-05-23,41850,408471,-20331,-17205,16551713,23.67%
2025-05-26,42950,539070,-8343,92217,16675652,23.85%
2025-05-27,41050,531356,-4793,-111170,16545114,23.66%
2025-05-28,45550,1323416,111196,207335,16764673,23.97%
2025-05-29,45500,773009,-6849,-60846,16746505,23.95%
2025-05-30,45100,2445309,100365,-227963,16506734,23.60%
2025-06-02,44050,588161,23358,-114402,16390047,23.44%
2025-06-04,44200,590271,28295,-32575,16330171,23.35%
2025-06-05,46400,695455,39144,247196,16634089,23.79%
2025-06-09,44100,568825,-76997,-257358,16336028,23.36%
2025-06-10,43850,356043,2281,-100822,16158048,23.11%
2025-06-11,44150,501988,-20897,-40440,16210819,23.18%
2025-06-12,46150,1153778,232915,-37880,16168751,23.12%
